INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2022-07-15T21:55:00-00:00,2022-07-15T22:00:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,5.61539,12,1
2022-07-15T22:00:00-00:00,2022-07-15T22:05:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,-19.18968,1,1
2022-07-15T22:05:00-00:00,2022-07-15T22:10:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,-8.61888,2,1
2022-07-15T22:10:00-00:00,2022-07-15T22:15:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,-11.64617,3,1
2022-07-15T22:15:00-00:00,2022-07-15T22:20:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,-8.78598,4,1
2022-07-15T22:20:00-00:00,2022-07-15T22:25:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,-12.43204,5,1
2022-07-15T22:25:00-00:00,2022-07-15T22:30:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,-13.68978,6,1
2022-07-15T22:30:00-00:00,2022-07-15T22:35:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,22.89868,7,1
2022-07-15T22:35:00-00:00,2022-07-15T22:40:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.94998,8,1
2022-07-15T22:40:00-00:00,2022-07-15T22:45:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,-1.88187,9,1
2022-07-15T22:45:00-00:00,2022-07-15T22:50:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,22.3868,10,1
2022-07-15T22:50:00-00:00,2022-07-15T22:55:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,17.61274,11,1
2022-07-15T22:55:00-00:00,2022-07-15T23:00:00-00:00,2022-07-15,16,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,17.07932,12,1
2022-07-15T23:00:00-00:00,2022-07-15T23:05:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,12.20912,1,1
